	ROC_12_25
0.000482563	0.892000
0.000497837	0.896000
0.00050452	0.897000
0.000506906	0.899000
0.00050977	0.900000
0.000513111	0.903000
0.000515498	0.904000
0.000519794	0.906000
0.000521226	0.907000
0.000535068	0.909000
0.000540795	0.914000
0.000543659	0.917000
0.000558456	0.918000
0.000560843	0.919000
0.000565616	0.920000
0.000576117	0.921000
0.000578026	0.924000
0.000588527	0.925000
0.000592823	0.927000
0.000606187	0.929000
0.000610483	0.930000
0.000626712	0.931000
0.000628621	0.933000
0.000634349	0.935000
0.000638167	0.936000
0.000639122	0.937000
0.000639599	0.939000
0.000659169	0.940000
0.000659646	0.941000
0.00068208	0.944000
0.000685899	0.945000
0.000690194	0.946000
0.000730289	0.947000
0.000730766	0.952000
0.000745563	0.953000
0.000755586	0.954000
0.00075845	0.955000
0.00080284	0.956000
0.000807613	0.958000
0.000820978	0.960000
0.000839116	0.961000
0.000867755	0.962000
0.00088112	0.963000
0.000927896	0.964000
0.000988038	0.965000
0.00101906	0.966000
0.00105963	0.967000
0.00111739	0.968000
0.00113075	0.969000
0.0012181	0.970000
0.00125342	0.971000
0.00126822	0.972000
0.00128922	0.973000
0.00130068	0.974000
0.001315	0.975000
0.00133218	0.976000
0.00134316	0.977000
0.00135414	0.978000
0.00137371	0.979000
0.00137657	0.980000
0.00139853	0.981000
0.00141428	0.982000
0.00145342	0.985000
0.00150974	0.986000
0.0015274	0.987000
0.00155509	0.988000
0.00186582	0.989000
0.00201092	0.990000
0.0024362	0.991000
0.00250923	0.992000
0.00258608	0.993000
0.00273596	0.994000
0.00285194	0.995000
0.00301471	0.996000
0.00322425	0.997000
0.0035283	0.998000
0.0035345	0.999000
0.005	0.999882
	ROC_12_26
0	0
1.90925e-06	0.002000
2.86388e-06	0.003000
3.34119e-06	0.009000
3.8185e-06	0.010000
4.29582e-06	0.011000
5.25044e-06	0.014000
6.20507e-06	0.027000
7.15969e-06	0.038000
8.59163e-06	0.045000
9.06894e-06	0.047000
9.54626e-06	0.048000
1.00236e-05	0.054000
1.14555e-05	0.055000
1.24101e-05	0.062000
1.28874e-05	0.064000
1.33648e-05	0.066000
1.43194e-05	0.067000
1.5274e-05	0.072000
1.57513e-05	0.075000
1.67059e-05	0.077000
1.71833e-05	0.081000
1.86152e-05	0.091000
2.00471e-05	0.095000
2.05245e-05	0.101000
2.10018e-05	0.106000
2.14791e-05	0.117000
2.19564e-05	0.120000
2.33883e-05	0.121000
2.4343e-05	0.129000
2.52976e-05	0.130000
2.57749e-05	0.131000
2.62522e-05	0.132000
2.67295e-05	0.140000
2.72068e-05	0.141000
2.95934e-05	0.149000
3.00707e-05	0.154000
3.0548e-05	0.159000
3.10253e-05	0.161000
3.15026e-05	0.169000
3.24573e-05	0.173000
3.29346e-05	0.179000
3.34119e-05	0.183000
3.43665e-05	0.186000
3.53212e-05	0.193000
3.62758e-05	0.195000
3.67531e-05	0.197000
3.72304e-05	0.203000
3.77077e-05	0.208000
3.86623e-05	0.210000
3.91397e-05	0.213000
3.9617e-05	0.215000
4.15262e-05	0.216000
4.20035e-05	0.219000
4.29582e-05	0.230000
4.43901e-05	0.233000
4.5822e-05	0.237000
4.62993e-05	0.242000
4.7254e-05	0.246000
4.77313e-05	0.248000
4.82086e-05	0.249000
4.96405e-05	0.251000
5.10725e-05	0.252000
5.15498e-05	0.255000
5.20271e-05	0.259000
5.25044e-05	0.261000
5.29817e-05	0.263000
5.3459e-05	0.265000
5.39364e-05	0.268000
5.44137e-05	0.272000
5.4891e-05	0.273000
5.58456e-05	0.278000
5.68002e-05	0.281000
5.72775e-05	0.283000
5.77549e-05	0.288000
5.96641e-05	0.293000
6.06187e-05	0.302000
6.30053e-05	0.305000
6.39599e-05	0.312000
6.49145e-05	0.317000
6.53919e-05	0.318000
6.58692e-05	0.320000
6.73011e-05	0.324000
6.8733e-05	0.331000
6.92104e-05	0.332000
7.0165e-05	0.336000
7.11196e-05	0.342000
7.25516e-05	0.346000
7.35062e-05	0.347000
7.49381e-05	0.356000
7.58927e-05	0.359000
7.63701e-05	0.364000
7.87566e-05	0.366000
7.97112e-05	0.369000
8.06659e-05	0.370000
8.11432e-05	0.373000
8.16205e-05	0.375000
8.40071e-05	0.378000
8.44844e-05	0.379000
8.78256e-05	0.382000
8.87802e-05	0.392000
8.97348e-05	0.394000
9.02121e-05	0.397000
9.06894e-05	0.398000
9.3076e-05	0.408000
9.45079e-05	0.410000
9.54626e-05	0.424000
9.59399e-05	0.426000
9.68945e-05	0.428000
9.78491e-05	0.430000
9.83264e-05	0.436000
9.92811e-05	0.441000
0.00010119	0.445000
0.0001031	0.448000
0.000104054	0.449000
0.000104532	0.450000
0.000105486	0.452000
0.000106441	0.455000
0.00010835	0.461000
0.000109305	0.465000
0.000110737	0.466000
0.000111691	0.467000
0.000112646	0.470000
0.000113123	0.473000
0.000115032	0.477000
0.00011551	0.479000
0.000115987	0.480000
0.000119806	0.482000
0.00012076	0.485000
0.000123147	0.487000
0.000126011	0.488000
0.000128397	0.489000
0.000128874	0.491000
0.000129352	0.492000
