	PRC_12_25
0.601000	0.916461
0.602000	0.916588
0.604000	0.916841
0.605000	0.916967
0.606000	0.917093
0.608000	0.917343
0.610000	0.916204
0.611000	0.916330
0.612000	0.916455
0.613000	0.916580
0.615000	0.916829
0.616000	0.916952
0.617000	0.916527
0.618000	0.916377
0.619000	0.916501
0.621000	0.916748
0.623000	0.916993
0.624000	0.916030
0.626000	0.915466
0.629000	0.915567
0.630000	0.915690
0.634000	0.914049
0.635000	0.914172
0.636000	0.913767
0.637000	0.913890
0.638000	0.914014
0.639000	0.913873
0.640000	0.913208
0.642000	0.913455
0.643000	0.913317
0.644000	0.912397
0.645000	0.910446
0.647000	0.910698
0.648000	0.910823
0.649000	0.910949
0.652000	0.910553
0.654000	0.909017
0.655000	0.909144
0.656000	0.909016
0.657000	0.908888
0.659000	0.909140
0.660000	0.908005
0.661000	0.905126
0.662000	0.905256
0.663000	0.905385
0.665000	0.905643
0.666000	0.905771
0.667000	0.905899
0.668000	0.906027
0.669000	0.906154
0.671000	0.906408
0.672000	0.906288
0.674000	0.906540
0.675000	0.906665
0.678000	0.906063
0.679000	0.906189
0.681000	0.905225
0.682000	0.905351
0.683000	0.904510
0.684000	0.903193
0.686000	0.903448
0.687000	0.903575
0.688000	0.903702
0.689000	0.903828
0.690000	0.903954
0.691000	0.904080
0.692000	0.904205
0.693000	0.904330
0.694000	0.903743
0.696000	0.902105
0.700000	0.902610
0.701000	0.902735
0.702000	0.902861
0.706000	0.900804
0.707000	0.900007
0.708000	0.900134
0.709000	0.900260
0.710000	0.900387
0.714000	0.899518
0.715000	0.899645
0.716000	0.899771
0.717000	0.899896
0.723000	0.900645
0.724000	0.900768
0.725000	0.900892
0.730000	0.898375
0.732000	0.898625
0.734000	0.898873
0.736000	0.899120
0.737000	0.899243
0.739000	0.899488
0.740000	0.899611
0.741000	0.899513
0.742000	0.899195
0.743000	0.899317
0.745000	0.899560
0.751000	0.899414
0.754000	0.898910
0.756000	0.898935
0.758000	0.899175
0.760000	0.898771
0.762000	0.898156
0.764000	0.897121
0.765000	0.897241
0.766000	0.896093
0.770000	0.896577
0.771000	0.896697
0.772000	0.896817
0.776000	0.897086
0.778000	0.897323
0.779000	0.897441
0.781000	0.897262
0.782000	0.897380
0.783000	0.897497
0.784000	0.897615
0.787000	0.893857
0.788000	0.893977
0.789000	0.893893
0.790000	0.894013
0.791000	0.892711
0.792000	0.892832
0.794000	0.892870
0.798000	0.892143
0.799000	0.892063
0.801000	0.892303
0.802000	0.892423
0.803000	0.892143
0.804000	0.889678
0.805000	0.889800
0.807000	0.890043
0.808000	0.890164
0.809000	0.890285
0.810000	0.890405
0.811000	0.890526
0.812000	0.889860
0.813000	0.889980
0.814000	0.890100
0.815000	0.890220
0.817000	0.890460
0.818000	0.890579
0.819000	0.890698
0.820000	0.890817
0.821000	0.890546
0.822000	0.890470
0.823000	0.889426
0.824000	0.889352
0.826000	0.888626
0.827000	0.888746
0.828000	0.886948
0.829000	0.887069
0.830000	0.887189
0.831000	0.887310
0.834000	0.886909
0.835000	0.886271
0.836000	0.885068
0.837000	0.884813
0.838000	0.884370
0.839000	0.884492
0.840000	0.884426
0.841000	0.884548
0.843000	0.884603
0.844000	0.883978
0.845000	0.883913
0.846000	0.884034
0.848000	0.883719
0.850000	0.883591
0.851000	0.883342
0.852000	0.882357
0.853000	0.882479
0.854000	0.882233
0.855000	0.881256
0.856000	0.879918
0.857000	0.877863
0.858000	0.877988
0.861000	0.878361
0.863000	0.878609
0.864000	0.878552
0.865000	0.878676
0.868000	0.878865
0.869000	0.878988
0.872000	0.877393
0.873000	0.875744
0.874000	0.875691
0.877000	0.874305
0.882000	0.873358
0.883000	0.872440
0.884000	0.872219
0.885000	0.872345
0.886000	0.871779
0.888000	0.870310
0.890000	0.870564
0.891000	0.870690
0.892000	0.868766
0.893000	0.868384
0.894000	0.868002
0.895000	0.868130
0.896000	0.868088
0.897000	0.866695
0.898000	0.866824
0.899000	0.866952
0.900000	0.866576
0.901000	0.866537
0.902000	0.866665
0.903000	0.866458
0.904000	0.866586
0.906000	0.864841
0.907000	0.863809
0.909000	0.864068
0.910000	0.862876
0.914000	0.860285
0.915000	0.860253
0.916000	0.860384
0.917000	0.860515
0.918000	0.859834
0.919000	0.859965
0.920000	0.860096
0.921000	0.860227
0.922000	0.860358
0.923000	0.860326
0.924000	0.859489
